ticker,status,days_expected,days_with_success,days_with_parquet_no_success,days_missing,first_day_expected,first_day_found,last_day_found,issue_summary
CATO,INCOMPLETE_NO_SUCCESS,1864,0,586,1278,2011-10-17,2011-10-17,2014-02-14,586 dias sin _SUCCESS
CAVM,INCOMPLETE_NO_SUCCESS,1864,0,1693,171,2011-10-17,2011-10-17,2018-07-06,1693 dias sin _SUCCESS
CBAN,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CBAT,INCOMPLETE_NO_SUCCESS,20,0,19,1,2018-12-03,2018-12-03,2018-12-31,19 dias sin _SUCCESS
CBF,EMPTY,1590,0,0,1590,2012-11-05,,,Directorio vacio
CBFV,INCOMPLETE_NO_SUCCESS,1076,0,1025,51,2014-11-03,2014-11-03,2018-12-31,1025 dias sin _SUCCESS
CBI,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CBIO,INCOMPLETE_NO_SUCCESS,803,0,782,21,2015-11-23,2015-11-23,2018-12-31,782 dias sin _SUCCESS
CBK,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
CBL,INCOMPLETE_NO_SUCCESS,1813,0,1765,48,2011-12-27,2011-12-27,2018-12-31,1765 dias sin _SUCCESS
CBMX,INCOMPLETE_NO_SUCCESS,1590,0,1267,323,2012-11-05,2012-11-05,2017-11-14,1267 dias sin _SUCCESS
CBNK,EMPTY,1859,0,0,1859,2011-10-24,,,Directorio vacio
CBR,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CBRL,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
CCB,EMPTY,45,0,0,45,2018-10-29,,,Directorio vacio
CCBG,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
CCCR,INCOMPLETE_NO_SUCCESS,803,0,663,140,2015-11-23,2015-11-23,2018-07-12,663 dias sin _SUCCESS
